,titulo,calificacion,edad
1458,Zoombies,6,31
1459,Zoomerne,3,39
1460,Zoop in Afrika,3,16
1461,Zoop in India,4,25
1462,Zoot Suit,6,40
1463,Zootopia,3,28
1464,Zora dubrovacka (TV Series),2,97
1465,Zora la vampira,3,21
1466,"Zoran, il mio nipote scemo",6,60
1467,Coach Zoran and His African Tigers,6,52
1468,Alexis Zorbas,2,81
1469,Zordon of Eltar,4,73
1470,Zori (S),4,32
1471,Zorn,3,54
1472,Zorns Lemma,4,12
1473,Kaiketsu Zorori (TV Series),1,89
1474,Zorrita Martínez,2,13
1475,Zorro il ribelle,2,50
1476,Zorro: Generation Z - The Animated Series (TV Series),1,21
1477,Zorro: La espada y la rosa (TV Series),2,72
1478,Black Fox (TV),5,2
1479,Black Fox: The Price of Peace (TV),3,75
1480,Zorro the Chronicles (TV Series),1,11
1481,Zorros Bar Mizwa,3,47
1482,Killing Streets,5,12
1483,Zósimo (S),2,66
1484,Zot van A.,1,83
1485,Zotz!,6,46
1486,Zou (TV Series),4,20
1487,Zounk! (S),6,83
1488,Zouzou,2,61
1489,Zouzou,4,88
1490,Zoya (TV),6,35
1491,Zoya,6,41
1492,Zozo,2,8
1493,Zrcadlení,6,26
1494,ZsaZsa Zaturnnah Ze Moveeh,4,60
1495,Zu Gast Bei Freunden (S),2,36
1496,Suk san: Sun Suk san geen hap (Zu: Warriors of the Magic Mountain),3,11
1497,Shu shan zheng zhuan (The Legend of Zu),2,15
1498,Zübük,3,51
1499,Zuckerkandl! (S),2,9
1500,Zud,1,44
1501,Z.U.G.A.,6,67
1502,Zügürt Aga (The Agha),2,16
1503,Zugzwang,2,72
1504,Zuiketsu gensô - Tonkararin yume densetsu,2,18
1505,Zulfiqar,3,60
1506,Zulo,1,24
1507,Zuloak,1,84
1508,Zulu,3,10
1509,Zulu,4,55
1510,Zulu Love Letter (Lettre d'amour zoulou),5,45
1511,Zum goldenen Anker,2,90
1512,Zuma,5,58
1513,Zumo de limón (S),2,94
1514,Zupelnie Inna Historia (S),4,39
1515,Zuppa di pesce,6,46
1516,Zur Ansicht: Peter Weiss,6,53
1517,Zur Lage: Österreich in sechs Kapiteln,2,39
1518,Zurdo,1,27
1519,Zurich,6,91
1520,Zus & Zo,2,64
1521,Zusjes (TV Series),3,48
1522,Zuzu Angel,6,51
1523,Zvenigora,1,59
1524,Zveno,3,100
1525,Zvir (S),2,58
1526,Zvírátka a petrovstí (S),2,29
1527,Zvyozdny inspektor,6,71
1528,Zwart water,2,54
1529,Zwarte Tulp (TV Series),3,20
1530,Zwei,3,25
1531,Zwei Herren im Anzug,5,79
1532,Zwei Kumpel in Tirol,4,61
1533,Zwei Menschen,1,39
1534,Zwei unter Millionen,6,16
1535,Zweierlei Maß (TV),3,59
1536,Zwischen den Stühlen,2,31
1537,Zwischen zwei Kriegen,6,42
1538,Zwolnieni z zycia (Dismissed from Life),1,32
1539,Z/X Ignition (TV Series),2,21
1540,Zycie codzienne (S),1,79
1541,Zygote (S),3,34
1542,Zyzzyx Rd.,3,19
1543,Taiho Shichauzo: Full Throttle (You're Under Arrest: Full Throttle) (TV Series),6,52
1544,Yours (S),2,52
1545,Yours Emotionally!,4,100
1546,Yours for the Asking,4,64
1547,"Yours Sincerely, Lois Weber (S)",1,15
1548,Yours Truly (S),6,18
1549,Youssou N'Dour: I Bring What I Love,2,11
1550,Youth (S),6,45
1551,Youth,3,12
1552,Youth Gets a Break (S),5,42
1553,Youth in Oregon,3,84
1554,Ji ran qing chun liu bu zhu,2,81
1555,Youth of Christ,1,4
1556,Youth on Parade,2,18
1557,YouthMin,2,19
1558,You've Been Trumped,3,79
1559,You've Been Trumped Too,4,99
1560,Olet mennyt minun vereeni (You've Gone Into My Blood),4,8
1561,Jowita,5,76
1562,Yowamushi Pedal (TV Series),6,24
1563,Yoyes,3,29
1564,Yoyo,4,49
1565,Sukeban Deka: Kôdo nêmu = Asamiya Saki,2,45
1566,Yoyochu: Sex to Yoyogi Tadashi no Sekai (Yoyochu in the Land of the Rising Sex),1,2
1567,Yoyotoki: Happy Ears (TV) (S),1,19
1568,Yozakura Quartet (TV Series),4,42
1569,Yozakura Quartet: Hana no Uta (TV Series),6,35
1570,Yozakura Quartet: Hoshi no Umi,6,77
1571,Yozgat Blues,6,94
1572,Yrrol - En kolossalt genomtänkt film,2,52
1573,Îsu (TV Series),3,74
1574,Yu jia nu,5,92
1575,Yu Ming Is Ainm Dom (S),6,8
1576,Yû yû hakusho: The golden seal,1,88
1577,Yû yû hakusho: Meikai shitô hen - Honô no kizuna (Yu Yu Hakusho: The Movie - Poltergeist Report),1,79
1578,Yû Yû Hakusho (TV Series),6,33
1579,Yuan Shang,2,1
1580,Yûbae Shôjo,2,9
1581,Yuban (tierra viva),2,81
1582,Yubari I: Locked Out,3,8
1583,Yubisaki,1,8
1584,Yucas (S),6,85
1585,Yucatán,3,71
1586,"Yucatán, el último paraíso maya (S)",6,36
1587,"What a Cartoon!: Yuckie Duck in ""I'm On My Way"" (TV) (S)",3,89
1588,"What a Cartoon!: Yuckie Duck in ""Short Orders"" (TV) (S)",3,96
1589,Yuda,2,1
1590,"Yue kuai le, yue duo luo (Hold You Tight)",6,19
1591,Yûgiô (TV Series),1,84
1592,Yu-Gi-Oh!,2,95
1593,Gekijô-ban Yu-Gi-Oh! ~Chô-Yûgô! Jikû o Koeta Kizuna (Yu-Gi-Oh! the Movie: Super Fusion! Bonds that Transcend Time),3,47
1594,Yûgiô Faibu Dîzu (Yu-Gi-Oh! 5D's) (YGO: 5DS) (TV Series),2,10
1595,Yu-Gi-Oh! Arc-V (TV Series),2,42
1596,Yu-Gi-Oh! GX (TV Series),5,99
1597,Yu-Gi-Oh! The movie,2,8
1598,Yu-Gi-Oh! The Abridged Series (Yu-Gi-Oh! Abridged) (TV Series),1,82
1599,Yu-Gi-Oh!: The Dark Side of Dimensions,3,54
1600,Yu-Gi-Oh! Vrains (TV Series),4,72
1601,Yûgiô Zearu (Yu-Gi-Oh! Zexal) (TV Series),2,14
1602,Yu-Gi-Oh! Zexal II (TV Series),3,8
1603,Yuugo Koushoujin (TV Series),2,70
1604,Yugoslavia: How Ideology Moved Our Collective Body,4,49
1605,Yûkai hôdô,3,70
1606,Yuki,4,36
1607,Yuki & Nina,4,96
1608,Yuki Onna (S),4,75
1609,Yuuki Yuuna wa Yuusha de Aru (TV Series),5,73
1610,Sentou Yousei Yukikaze,5,4
1611,Yuki no taiyou (Yuki's Sun) (S),4,48
1612,Yukon Jake (S),1,15
1613,Yul (S),6,58
1614,Yul Brynner: The Man Who Was King,6,16
1615,Yùl et le serpent (S),3,95
1616,Yuli,3,11
1617,Yulya (S),3,79
1618,"Yum, Yum, Yum! A Taste of Cajun and Creole Cooking",5,2
1619,Run of the Arrow,6,12
1620,"Yume Kara, Samenai",4,51
1621,Yume no onna (Yearning),3,95
1622,Yume Tsukai (TV Series),5,53
1623,Yumeiro Pâtissière (TV Series),6,74
1624,Yumeji,3,12
1625,Yumekui Merry (TV Series),4,97
1626,Yumen,1,15
1627,Yumeria (TV Series),3,15
1628,"Yunagi No Machi Sakura No kuni (Yunagi City, Sakura Country)",2,7
1629,Yunaisy (S),4,87
1630,Yuniol (Yuniol)²,5,81
1631,Yuppi du,4,32
1632,Yuraktukto,2,70
1633,Yurei otoko,6,16
1634,Yuri Kuma Arashi (TV Series),5,23
1635,Yuri Lennon's Landing on Alpha46 (S),4,5
1636,"Yuri, mi verdadera historia",2,77
1637,Yuri! On Ice (TV Series),5,21
1638,Yurigokoro,4,27
1639,Yuriko no Aroma (Yuriko's Aroma),6,83
1640,Yuryev den (Yuri's Day),1,74
1641,Yuru Camp (TV Series),5,81
1642,YuruYuri (Yuru Yuri) (TV Series),6,50
1643,X (TV Series),6,26
1644,X,3,43
1645,X Company (TV Series),1,36
1646,X gêmu 2,2,9
1647,X: The Movie,3,53
1648,X Marks the Spot,2,23
1649,X on a Map (S),4,33
1650,X: Past Is Present,5,28
1651,X: Search for Freedom,6,32
1652,X,4,10
1653,Zee and Co.,4,90
1654,X: Yochou,2,30
1655,X-15,5,81
1656,X2000 (S),5,9
1657,X500,1,34
1658,Xabungle Graffiti,5,31
1659,Xala,6,8
1660,Bônen no Zamudo (Bounen no Xamdou) (Xam'd: Lost Memories) (TV Series),4,85
1661,Xamou,6,6
1662,Xanadu,6,36
1663,Xapiri,2,10
1664,Xavier,2,54
1665,Xavier: Renegade Angel,3,40
1666,Xchange,4,93
1667,XX (ekusu kurosu): makyô densetsu (X-Cross),4,91
1668,Xena: Warrior Princess (TV Series),1,30
1669,Xénogénèse (S),4,94
1670,Xenogenesis (S),4,30
1671,Xenosaga: The Animation (TV Series),3,77
1672,Xfea2 (TV Series),2,59
1673,X-Femmes (S) (TV Series),1,27
1674,The X-Files 2: I Want to Believe,3,39
1675,XHDRBZ (TV Series),2,63
1676,Xi AVANT (S),3,53
1677,Xiang qing,1,20
1678,Xiao Jia rentre à la maison,4,67
1679,Xiao Mei,1,21
1680,Xiaoshan Huijia (Xiao Shan Going Home),1,76
1681,Xiaolin Chronicles (TV Series),3,64
1682,Xibalba,5,84
1683,Xica da Silva,6,27
1684,Xica da Silva (TV Series),3,83
1685,Xicu'l toperu (S),6,81
1686,Xie mo,6,36
1687,XII,4,71
1688,XIII: The Conspiracy,6,14
1689,XIII baran (S),5,42
1690,XIII: The Series (TV Series),1,48
1691,Xime,3,15
1692,Xing xing dian deng (TV),4,78
1693,Xingu,1,83
1694,Xinnian Is Coming – Uproar of Chuxi,2,94
1695,Tian yu (Xiu Xiu),4,55
1696,XIV Olympiad: The Glory of Sport,4,89
1697,XL,6,65
1698,Xmas Without China,5,40
1699,X-Men (X-Men Anime) (TV Series),4,5
1700,X-Men,4,4
1701,X-Men (TV Series),2,43
1702,X2,2,6
1703,X-Men: Apocalypse,2,86
1704,X-Men: Dark Tide,5,78
1705,X-Men: Days of Future Past,4,27
1706,X-Men: Evolution (TV Series),2,2
1707,X-Men: Dark Phoenix,2,15
1708,X3 (X-Men 3: The Last Stand),1,4
1709,X-Men Origins: Wolverine,1,19
1710,X-Men: First Class,1,68
1711,Xmile (S),4,63
1712,Xochimilco 1914 (S),2,8
1713,"Xochimilco, historia de un paisaje",6,45
1714,Xombie: Dead Ahead (TV Series),6,79
1715,Xombie: Dead on Arrival (TV Series),5,41
1716,Xora,3,92
1717,XOXO,2,63
1718,XP3D (Paranormal Xperience 3D),5,46
1719,X-paroni,5,48
1720,X-Rated: The Greatest Adult Movies of All Time (TV),1,85
1721,XS - la peor talla,6,41
1722,X's & O's,5,13
1723,X-Story (S),5,7
1724,XTC: This Is Pop,4,28
1725,Xtrems,3,61
1726,Xtro,3,44
1727,Xtro II: The Second Encounter,5,40
1728,Xtro 3: Watch the Skies,5,27
1729,"Xuan Yuan, the Great Emperor",3,3
1730,Da Tang Xuan Zang,5,4
1731,Xue xi Tang Ren Jie,2,20
1732,"Xue, zong shi re de",1,4
1733,Xuxa Abracadabra,6,79
1734,Xuxa Gêmeas,1,97
1735,Popstar,1,88
1736,Xuxa Requebra,2,17
1737,Xuxa e os Duendes,5,50
1738,Xuxa e os Duendes 2: No Caminho das Fadas,6,95
1739,Xuxinha e Guto Contra os Monstros do Espaço,1,20
1740,XV: Beyond the Tryline,1,49
1741,XV en Zaachila,2,89
1742,XX,1,14
1743,XX: Utsukushiki karyuudo,2,5
1744,XXL,3,8
1745,XXL,5,50
1746,XXL Extragrande,6,89
1747,"XXV-19, Revolución Sandinista",2,36
1748,xXx: Return of Xander Cage,4,35
1749,xXx2: State of the Union,6,42
1750,xxxHolic (TV Series),3,40
1751,xxxHOLiC,2,47
1752,Gekijôban XXXHolic Manatsu no yoru no yume (xxxHOLiC: A Midsummer Night's Dream),2,21
1753,xxxHOLiC: Kei (TV Series),4,82
1754,xxxHOLiC: Rô,3,76
1755,xxxHOLiC: Rô Adayume,2,1
1756,xxxHOLiC: Shunmuki,2,46
1757,XXXII (S),3,34
1758,XX/XY,1,4
1759,XXY,1,20
1760,X/Y,1,95
1761,X-Y (S),5,43
1762,X+Y,3,52
1763,XY: Ser. Hombre. Hoy. (XY: La revista) (TV Series),6,78
1764,XYZTopia (S),1,26
1765,X² (Double X),2,5
1766,Yurumates,2,35
1767,Yurumates 3D (TV Series),2,50
1768,Ani*Kuri15: Yurururu (Nichijou Hen),6,10
1769,Yuryeong,1,15
1770,Yusniel (S),2,51
1771,Yussef Is Complicated (S),4,38
1772,Yusuf Yusuf,4,38
1773,Yuxu,4,74
1774,Yuyushiki (TV Series),4,50
1775,Yüz karasi,1,60
1776,Yves Saint Laurent,6,79
1777,"Yves Saint Laurent - Pierre Bergé, l'amour fou",1,55
1778,Yvone Kane,3,68
1779,Yvonne la Nuit,3,13
1780,Yvy Maraey: Tierra sin mal,3,6
